trigger_name,table_name,definition
RI_ConstraintTrigger_a_20201,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20201"" AFTER DELETE ON public.etablissements FROM stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20202,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20202"" AFTER UPDATE ON public.etablissements FROM stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20203,stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20203"" AFTER INSERT ON public.stock FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20204,stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20204"" AFTER UPDATE ON public.stock FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20207,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20207"" AFTER DELETE ON public.etablissements FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20208,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20208"" AFTER UPDATE ON public.etablissements FROM mouvements_stock NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20209,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20209"" AFTER INSERT ON public.mouvements_stock FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20210,mouvements_stock,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20210"" AFTER UPDATE ON public.mouvements_stock FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20213,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20213"" AFTER DELETE ON public.etablissements FROM tables NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20214,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20214"" AFTER UPDATE ON public.etablissements FROM tables NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20215,tables,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20215"" AFTER INSERT ON public.tables FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
RI_ConstraintTrigger_c_20216,tables,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20216"" AFTER UPDATE ON public.tables FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_upd""()"
RI_ConstraintTrigger_a_20219,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20219"" AFTER DELETE ON public.etablissements FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_restrict_del""()"
RI_ConstraintTrigger_a_20220,etablissements,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_20220"" AFTER UPDATE ON public.etablissements FROM commandes NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_20221,commandes,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_20221"" AFTER INSERT ON public.commandes FROM etablissements NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
